iso3,year,isscaap_group,variable,units,source,value
AGO,2008,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),1067
AGO,2008,"Shrimps, prawns",capture_production,tonnes,FAO (2019),574
AGO,2008,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),393
AGO,2008,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),1475
AGO,2009,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),2146
AGO,2009,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),117
AGO,2009,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),4310
AGO,2009,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),74184
AGO,2009,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),862
AGO,2009,Marine fishes not identified,capture_production,tonnes,FAO (2019),37710
AGO,2009,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),103100
AGO,2009,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),957
AGO,2009,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2009,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),23918
AGO,2009,Shads,capture_production,tonnes,FAO (2019),8930
AGO,2009,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),928
AGO,2009,"Shrimps, prawns",capture_production,tonnes,FAO (2019),377
AGO,2009,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1293
AGO,2009,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),7362
AGO,2010,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),3800
AGO,2010,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),500
AGO,2010,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),4600
AGO,2010,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),83700
AGO,2010,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),860
AGO,2010,Marine fishes not identified,capture_production,tonnes,FAO (2019),47755
AGO,2010,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),95210
AGO,2010,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1150
AGO,2010,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2010,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),40914
AGO,2010,Shads,capture_production,tonnes,FAO (2019),8000
AGO,2010,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),1450
AGO,2010,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1050
AGO,2010,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1500
AGO,2010,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),9511
AGO,2011,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),5400
AGO,2011,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),800
AGO,2011,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),4900
AGO,2011,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),91000
AGO,2011,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),857
AGO,2011,Marine fishes not identified,capture_production,tonnes,FAO (2019),61290
AGO,2011,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),88225
AGO,2011,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1400
AGO,2011,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2011,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),56622
AGO,2011,Shads,capture_production,tonnes,FAO (2019),7000
AGO,2011,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),1960
AGO,2011,"Shrimps, prawns",capture_production,tonnes,FAO (2019),1650
AGO,2011,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1740
AGO,2011,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),5156
AGO,2012,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),7000
AGO,2012,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1100
AGO,2012,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),5200
AGO,2012,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),98300
AGO,2012,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),854
AGO,2012,Marine fishes not identified,capture_production,tonnes,FAO (2019),71154
AGO,2012,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),81240
AGO,2012,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1650
AGO,2012,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2012,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),72430
AGO,2012,Shads,capture_production,tonnes,FAO (2019),6000
AGO,2012,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),2470
AGO,2012,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2250
AGO,2012,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),1930
AGO,2012,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),4422
AGO,2013,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),8600
AGO,2013,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1400
AGO,2013,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),5450
AGO,2013,"Herrings, sardines, anchovies",capture_production,tonnes,FAO (2019),105600
AGO,2013,"Lobsters, spiny-rock lobsters",capture_production,tonnes,FAO (2019),851
AGO,2013,Marine fishes not identified,capture_production,tonnes,FAO (2019),78091
AGO,2013,Miscellaneous coastal fishes,capture_production,tonnes,FAO (2019),74255
AGO,2013,Miscellaneous demersal fishes,capture_production,tonnes,FAO (2019),1900
AGO,2013,Miscellaneous marine crustaceans,capture_production,tonnes,FAO (2019),0
AGO,2013,Miscellaneous pelagic fishes,capture_production,tonnes,FAO (2019),88137
AGO,2013,Shads,capture_production,tonnes,FAO (2019),5000
AGO,2013,"Sharks, rays, chimaeras",capture_production,tonnes,FAO (2019),2980
AGO,2013,"Shrimps, prawns",capture_production,tonnes,FAO (2019),2800
AGO,2013,"Squids, cuttlefishes, octopuses",capture_production,tonnes,FAO (2019),2120
AGO,2013,"Tunas, bonitos, billfishes",capture_production,tonnes,FAO (2019),6816
AGO,2014,"Cods, hakes, haddocks",capture_production,tonnes,FAO (2019),10145
AGO,2014,"Crabs, sea-spiders",capture_production,tonnes,FAO (2019),1779
AGO,2014,"Flounders, halibuts, soles",capture_production,tonnes,FAO (2019),4974
