description,affected,flag_iso3,A1_subs,A2_subs,A3_subs,B1_subs,B2_subs,B3_subs,B4_subs,B5_subs,B6_subs,B7_subs,C1_subs,C2_subs,C3_subs
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PLW,87583.73369299265,0,8791.367310266161,0,0,0,1049.2797185164939,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PNG,793292.9245930647,1471012.9104801735,1324016.7313719322,936371.9402078632,2283482.1543562836,624413.4369765717,6383924.847385443,1839886.5098083208,3354655.454686414,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PNG,578164.5514069352,1072097.6995198263,964964.5368280676,682442.8227921369,1664238.2586437163,455082.48402342846,4652706.372614558,1340938.6691916795,2444926.4653135864,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,POL,499475.2393107061,1053581.236389686,5626421.793098379,2062721.5185423747,2841749.581537914,469245.7526302752,2419279.3515399406,9332130.347504033,6619815.947041023,4679706.522810748,1799186.3517318063,109876.98097107004,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,POL,462827.43432929384,976277.224810314,5213596.506901619,1911374.2444576249,2633242.9804620855,434815.9641697249,2241770.496460059,8647407.530195968,6134102.732958976,4336344.212689252,1667175.3422681936,101815.01942892997,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PRK,4752369.4076773655,0,0,0,0,0,0,0,586380.5236257372,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PRK,3154353.4553226344,0,0,0,0,0,0,0,389206.1563742629,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PRT,2062247.917267799,4800669.663322585,12205555.097133232,103715.41830576598,0,334876.4275908193,1897526.1308230187,0,2388238.86032583,56352719.18577081,423059.3897889523,207430.8365841474,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,PRT,950025.4744322012,2211547.135677415,5622790.6328667635,47779.070914234006,0,154269.1033091807,874142.3121769812,0,1100201.25967417,25960272.929229192,194892.7644110477,95558.14181585262,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PSE,0,0,0,0,0,0,0,0,0,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,PYF,99111.30607299184,30566.534214592764,390815.33016708534,18364.635583842744,33805.55022337798,193231.53297031196,50242.84334836157,16026.77973991384,89813.77390609922,461922.64516594197,106950.60439053003,3769.6785262880644,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,QAT,14190580.251999997,0,116364.94829999997,0,0,0,1273543.5129999993,0,0,0,509474.8740000001,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,REU,111731.06757432767,34458.546004110474,440577.5263603451,20702.989605293733,38109.98327086775,217835.5459456526,56640.22347912428,18067.456489781314,101249.68824462223,520738.87759221287,120568.53733188601,4249.668608382503,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,REU,9829.5442869321,3031.491700241451,38759.82214441009,1821.3461807455947,3352.7270119927525,19164.089206579916,4982.925494195374,1589.485069588022,8907.44460108656,45812.019614104815,10607.020974949553,373.86473339738234,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,ROU,0,11591.336300000008,323972.5070000003,41685.053746,134129.2847,0,99972.007031,155843.057393,4792700.09,735313.708679,30341.477060000005,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,RUS,107907956.42460287,101534504.07675701,28562890.94879944,8383885.790085194,56568042.96567284,1392250.4216703086,15879634.986407112,931663607.2610693,85980104.9327763,1689349.8643529324,1225181.210752569,51043249.55483584,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,RUS,4009177.735397135,3772380.5232429784,1061216.5242005647,311492.21391480614,2101710.9943271615,51727.22732969147,589986.88459289,34614731.98893087,3194477.3472237014,62765.565097067614,45519.99124743114,1896444.585164154,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SAU,25701302.495,6236187.769799998,535802.8428,4262127.930999999,12605169.102648998,0,0,0,846553.32,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SEN,6690357.672922622,1681964.6046909215,1029850.9151753248,0,43581795.72540025,16769670.626746196,22670526.084751934,4230831.245793452,34991729.64392142,0,4118716.095891482,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SEN,1858364.235077379,467195.1813090787,286059.1618246754,0,12105608.464599755,4658070.263253804,6297136.405248068,1175187.61420655,9719566.886078583,0,1144045.6641085153,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SGP,12218.664107494733,0,351.86243674350175,0,0,0,0,0,960.621689429285,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SGP,692855.2195995053,0,19952.240583256502,0,0,0,0,0,54471.72831057071,0,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SHN,182.21426788446942,96.87330551064026,9215.340148988025,20.637945242036754,176.0112977040362,105.44878839219541,292.3600310472874,0,122.60054651476453,2346.222224041428,97.9968952228551,679.1656415545391,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SHN,9511.246532674628,5056.606718256552,481023.6490100356,1077.2624306747903,9187.463004052506,5504.231005696634,15260.650902234673,0,6399.520940269665,122468.4447183194,5115.256015474199,35451.185729555735,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SLB,9648244.377051381,0,3230020.225878348,718722.9942667845,5160936.751916618,0,12398885.683271237,0,0,225558.60737785557,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SLB,852200.4429486189,0,285297.98372165207,63482.64307321551,455850.04008338315,0,1095156.3267287635,0,0,19922.914222144445,0,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SLE,130767.47180339914,0,0,0,81848.02236307673,0,0,0,1547634.72132741,0,1685.3093307217673,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SLE,234764.46219660144,0,0,0,146940.26493692328,0,0,0,2778440.4486725903,0,3025.605169278233,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SLV,0,7510.932343662333,154140.75444896228,20767.754162512323,295612.93409395666,0,0,0,0,0,31979.767383746093,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),TRUE,SLV,0,28641.721166337666,587790.7438510376,79194.45905748765,1127271.9343060432,0,0,0,0,0,121949.65131625393,0,0
Overfished - Median BvBmsy < 0.8 (All Costello et al. 2016 stocks),FALSE,SPM,40.76559810500652,12.57236029497321,160.74675346457073,7.553581757912514,13.904604113580314,79.47830904862444,20.665448178875764,6.591995279666949,36.94141825407426,189.99399417225226,43.98998992567995,1.550511297616821,0
