uaid,spid,SciName,CommName,SpeciesCat,VonBertK,Temp,area,MaxLength,AgeMat,pcat,mind
3085,2368,Pagellus erythrinus,Common pandora,33,0.196050001,NaN,3100,60,1,2,NaN
227,2369,Pagellus bellottii,Red pandora,33,0.305555552,NaN,1782,42,2,3,NaN
3585,2370,Diplodus sargus,White seabream,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2888,2372,Calamus spp,Porgies,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5335,2375,Dentex congoensis,Congo dentex,33,0.254999995,NaN,NaN,50,NaN,3,130
2863,2376,Spondyliosoma cantharus,Black seabream,33,0.207333336,NaN,5146,60,4,4,5
2831,2377,Oblada melanura,Saddled seabream,33,0.243500002,NaN,3245,34,2,4,NaN
12885,2378,Argyrops spinifer,King soldier bream,33,0.143499997,NaN,NaN,70,NaN,3,NaN
14669,2379,Cheimerius nufar,Santer seabream,33,0.120500002,NaN,NaN,75,NaN,1,20
129,2380,Pagrus spp,Pargo breams nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403,2381,Pagrus pagrus,Red porgy,33,0.178357142,NaN,13132,91,1.933333317,4,0
664,2382,Pagrus auratus,Silver seabream,33,0.104833333,NaN,NaN,130,4,4,0
7631,2383,Pterogymnus laniarius,Panga seabream,33,0.166666667,NaN,NaN,45,4,1,20
2861,2384,Sparus aurata,Gilthead seabream,33,0.276300003,NaN,2820,70,1.5,4,1
10,2385,Boops boops,Bogue,33,0.215874999,NaN,5372,36,1.5,3,0
10251,2390,Lithognathus spp,Steenbrasses nei,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14732,2391,Lithognathus lithognathus,White steenbras,33,0.101000004,NaN,NaN,200,NaN,1,NaN
4409,2392,Lithognathus mormyrus,Sand steenbras,33,0.218799998,NaN,NaN,55,2.2,2,0
2850,2397,Sarpa salpa,Salema,33,0.233000005,NaN,5270,51,NaN,2,5
17819,2399,Stenotomus chrysops,Scup,33,0.223333339,NaN,NaN,46,NaN,1,15
