Year,Variable,Fleet,Region,BAU,Reform,Diff,run_id,run_name,run_group
2037,price,Total,atlantic,1279.760857957346,1297.2956696596752,0.01370163151443544,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2038,price,Total,atlantic,1279.7504246864717,1297.0340840686486,0.013505492202834195,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2039,price,Total,atlantic,1279.748158803547,1296.8623218808125,0.013373071068346488,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2040,price,Total,atlantic,1279.7507157958178,1296.723332268792,0.01326243952316904,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2041,price,Total,atlantic,1279.7558883047786,1296.6111382855281,0.01317067585684383,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2042,price,Total,atlantic,1279.7622533754077,1296.520768809613,0.013095022446555386,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2043,price,Total,atlantic,1279.7689231787865,1296.4481167920594,0.013032972836880475,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2044,price,Total,atlantic,1279.77536999966,1296.3898075735044,0.012982307648137433,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2045,price,Total,atlantic,1279.7813042944915,1296.3430808673086,0.012941099012184045,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2046,price,Total,atlantic,1279.786590488377,1296.3056875506572,0.012907696630870644,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2047,price,Total,atlantic,1279.7911894585413,1296.275800986836,0.012880704027403881,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2048,price,Total,atlantic,1279.7951197678244,1296.2519418368995,0.012858950479558495,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2049,price,Total,atlantic,1279.7984319735547,1296.2329149601305,0.012841462042762883,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2050,price,Total,atlantic,1279.8011919742703,1296.2177568893828,0.012827433681154578,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2051,price,Total,atlantic,1279.803470537423,1296.205692396583,0.01281620360997473,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2052,price,Total,atlantic,1279.8053369994109,1296.196098769851,0.012807230362759197,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2053,price,Total,atlantic,1279.8068557360682,1296.1884765662035,0.012800072727156579,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2054,price,Total,atlantic,1279.8080844336714,1296.1824257578696,0.012794372471435068,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2055,price,Total,atlantic,1279.8090734963475,1296.1776263414486,0.012789839659741821,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2056,price,Total,atlantic,1279.8098661409263,1296.1738226197117,0.01278624029374651,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2057,price,Total,atlantic,1279.8104988805646,1296.170810491995,0.012783385997958788,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2058,price,Total,atlantic,1279.811002202549,1296.1684271996623,0.01278112547005953,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2059,price,Total,atlantic,1279.8114013170236,1296.1665430683586,0.01277933743558172,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2060,price,Total,atlantic,1279.8117169016905,1296.1650548696234,0.012777924871263795,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2061,price,Total,atlantic,1279.8119657997217,1296.1638804925192,0.012776810289142392,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2062,price,Total,atlantic,1279.8121616491353,1296.1629546726774,0.012775931901188428,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2063,price,Total,atlantic,1279.812315435269,1296.1622255732086,0.01277524051046414,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
2064,price,Total,atlantic,1279.8124359661251,1296.1616520506968,0.012774696998650237,RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities,Chair's text - Consolidated text (RD/TN/RL/126 | TN/RL/GEN/199 | Relevant Authorities),Other
